dt_start_utc;electricity_price_eur_mwh;feedin_wind_kw
2021.01.01. 00:00:00;48,69;147,05
2021.01.01. 01:00:00;45,18;1,9
2021.01.01. 02:00:00;43,42;0
2021.01.01. 03:00:00;40,89;0
2021.01.01. 04:00:00;40,7;0
2021.01.01. 05:00:00;40,13;0
2021.01.01. 06:00:00;40,59;0
2021.01.01. 07:00:00;41,77;0
2021.01.01. 08:00:00;45,38;0
2021.01.01. 09:00:00;45,5;0
2021.01.01. 10:00:00;47,7;0
2021.01.01. 11:00:00;51,28;0
2021.01.01. 12:00:00;45,99;0
2021.01.01. 13:00:00;45,23;0
2021.01.01. 14:00:00;47,09;0
2021.01.01. 15:00:00;53,49;0
2021.01.01. 16:00:00;60,76;0
2021.01.01. 17:00:00;61,11;0
2021.01.01. 18:00:00;60,86;0
2021.01.01. 19:00:00;57,9;0
2021.01.01. 20:00:00;54,36;0
2021.01.01. 21:00:00;53,95;0
2021.01.01. 22:00:00;50,22;0,183333333
2021.01.01. 23:00:00;47,19;0
2021.01.02. 00:00:00;42,93;0,3
2021.01.02. 01:00:00;41,59;0
2021.01.02. 02:00:00;40,5;0,283333333
2021.01.02. 03:00:00;38,05;0
2021.01.02. 04:00:00;39,5;0
2021.01.02. 05:00:00;42,59;4,116666667
2021.01.02. 06:00:00;45,46;0
2021.01.02. 07:00:00;48,95;0
2021.01.02. 08:00:00;52,5;0
2021.01.02. 09:00:00;52,5;0
2021.01.02. 10:00:00;52,65;0
2021.01.02. 11:00:00;56,45;7,816666667
2021.01.02. 12:00:00;52,5;19,35
2021.01.02. 13:00:00;51,19;69,28333333
2021.01.02. 14:00:00;53,95;67,58333333
2021.01.02. 15:00:00;60,49;60,71666667
2021.01.02. 16:00:00;62,5;119,6666667
2021.01.02. 17:00:00;63,58;175,4166667
2021.01.02. 18:00:00;62,67;203,4166667
2021.01.02. 19:00:00;60,53;113,65
2021.01.02. 20:00:00;55,53;260,35
2021.01.02. 21:00:00;52,75;429,6333333
2021.01.02. 22:00:00;48,95;184,5333333
2021.01.02. 23:00:00;46,61;140,1666667
2021.01.03. 00:00:00;43,5;235,5166667
2021.01.03. 01:00:00;40,05;205,35
2021.01.03. 02:00:00;35,68;275,75
2021.01.03. 03:00:00;33,95;357,65
2021.01.03. 04:00:00;32,87;312,2833333
2021.01.03. 05:00:00;32,2;541,8333333
2021.01.03. 06:00:00;33,13;538,2666667
2021.01.03. 07:00:00;37,4;523,6833333
2021.01.03. 08:00:00;37,46;389,0833333
2021.01.03. 09:00:00;37,46;324,6166667
2021.01.03. 10:00:00;44,22;389,55
2021.01.03. 11:00:00;48,21;432,3666667
2021.01.03. 12:00:00;40,91;496,8666667
2021.01.03. 13:00:00;40,16;484,9666667
2021.01.03. 14:00:00;40,07;719,75
2021.01.03. 15:00:00;36,61;734,1666667
2021.01.03. 16:00:00;45,54;1101,633333
2021.01.03. 17:00:00;53,06;1400,05
2021.01.03. 18:00:00;46,34;1604,566667
2021.01.03. 19:00:00;36,33;1627,916667
2021.01.03. 20:00:00;33,81;1202,9
2021.01.03. 21:00:00;35,48;1419,216667
2021.01.03. 22:00:00;27,89;1207,116667
2021.01.03. 23:00:00;29,83;1135,166667
2021.01.04. 00:00:00;25,32;1144,85
2021.01.04. 01:00:00;25,15;1584,383333
2021.01.04. 02:00:00;25,3;1177,433333
2021.01.04. 03:00:00;28,21;950,6666667
2021.01.04. 04:00:00;29,08;1065,6
2021.01.04. 05:00:00;37,54;353,1166667
2021.01.04. 06:00:00;52,53;1375,566667
2021.01.04. 07:00:00;56,26;691,2666667
2021.01.04. 08:00:00;57,56;133,8333333
2021.01.04. 09:00:00;57,68;158,6666667
2021.01.04. 10:00:00;60,5;268,8333333
2021.01.04. 11:00:00;61,77;517,65
2021.01.04. 12:00:00;60,78;983,0666667
2021.01.04. 13:00:00;60,57;1082,966667
2021.01.04. 14:00:00;59,96;947,5166667
2021.01.04. 15:00:00;62,49;771,1833333
2021.01.04. 16:00:00;67,32;826,1666667
2021.01.04. 17:00:00;62,47;497,1833333
2021.01.04. 18:00:00;55,56;548,8
2021.01.04. 19:00:00;47,84;544,4666667
2021.01.04. 20:00:00;46,14;690,8166667
2021.01.04. 21:00:00;49,43;553,5166667
2021.01.04. 22:00:00;45,14;464,7166667
2021.01.04. 23:00:00;38,04;448,6166667
2021.01.05. 00:00:00;40,57;469,9333333
2021.01.05. 01:00:00;40,31;570,7833333
2021.01.05. 02:00:00;40,15;699,4333333
2021.01.05. 03:00:00;40,7;736,6333333
2021.01.05. 04:00:00;44,76;588,0333333
2021.01.05. 05:00:00;47,56;521,7166667
2021.01.05. 06:00:00;55,46;338,95
2021.01.05. 07:00:00;64,17;315,4333333
2021.01.05. 08:00:00;65,23;564,4166667
2021.01.05. 09:00:00;66,57;490,9
2021.01.05. 10:00:00;66,47;432,9166667
2021.01.05. 11:00:00;65,96;485,55
2021.01.05. 12:00:00;64,32;599,7333333
2021.01.05. 13:00:00;64,37;578,2333333
2021.01.05. 14:00:00;64,55;490,8
2021.01.05. 15:00:00;64,76;387,9666667
2021.01.05. 16:00:00;67,64;585,6166667
2021.01.05. 17:00:00;62,11;282,9833333
2021.01.05. 18:00:00;59,66;286,5
2021.01.05. 19:00:00;59,76;288,2
2021.01.05. 20:00:00;54,12;173,5666667
2021.01.05. 21:00:00;54,36;157,0666667
2021.01.05. 22:00:00;48,49;245,5666667
2021.01.05. 23:00:00;44,91;329,1333333
2021.01.06. 00:00:00;43,44;439,6833333
2021.01.06. 01:00:00;43,38;370,2333333
2021.01.06. 02:00:00;42,65;422,2333333
2021.01.06. 03:00:00;43,73;442,35
2021.01.06. 04:00:00;45,06;438,9833333
2021.01.06. 05:00:00;47,9;267,8833333
2021.01.06. 06:00:00;44,55;418,1333333
2021.01.06. 07:00:00;53,91;590,3666667
2021.01.06. 08:00:00;55,3;501,9833333
2021.01.06. 09:00:00;54,44;554,05
2021.01.06. 10:00:00;58,8;467,2666667
2021.01.06. 11:00:00;61,93;601,4
2021.01.06. 12:00:00;62,42;616,7833333
2021.01.06. 13:00:00;57,5;536,1166667
2021.01.06. 14:00:00;58,03;629,3833333
2021.01.06. 15:00:00;62,18;524,5666667
2021.01.06. 16:00:00;62,34;499,8333333
2021.01.06. 17:00:00;57,96;514,45
2021.01.06. 18:00:00;58,56;443,9666667
2021.01.06. 19:00:00;60,47;360,1333333
2021.01.06. 20:00:00;53,45;302,3666667
2021.01.06. 21:00:00;53,45;287,1
2021.01.06. 22:00:00;50,03;268,55
2021.01.06. 23:00:00;51,53;211,9166667
2021.01.07. 00:00:00;50,68;249,1333333
2021.01.07. 01:00:00;49,47;226,8833333
2021.01.07. 02:00:00;47,22;248,0333333
2021.01.07. 03:00:00;47,37;202,35
2021.01.07. 04:00:00;50,58;148,05
2021.01.07. 05:00:00;57,84;134,8833333
2021.01.07. 06:00:00;68,3;114,9333333
2021.01.07. 07:00:00;87,01;101,55
2021.01.07. 08:00:00;87,04;88,25
2021.01.07. 09:00:00;85,58;66,33333333
2021.01.07. 10:00:00;89,24;33,81666667
2021.01.07. 11:00:00;89,26;25,8
2021.01.07. 12:00:00;84,81;16,41666667
2021.01.07. 13:00:00;80,9;9,266666667
2021.01.07. 14:00:00;84,07;37,15
2021.01.07. 15:00:00;90,18;17,23333333
2021.01.07. 16:00:00;100,5;48,5
2021.01.07. 17:00:00;90,93;87,53333333
2021.01.07. 18:00:00;80,78;119,45
2021.01.07. 19:00:00;67,3;90,58333333
2021.01.07. 20:00:00;60,72;40,9
2021.01.07. 21:00:00;60,19;0,916666667
2021.01.07. 22:00:00;52,75;18,16666667
2021.01.07. 23:00:00;51,03;64,2
2021.01.08. 00:00:00;48,93;54,5
2021.01.08. 01:00:00;47,74;61
2021.01.08. 02:00:00;46,11;45,13333333
2021.01.08. 03:00:00;47,31;7,4
2021.01.08. 04:00:00;52,07;73,28333333
2021.01.08. 05:00:00;61,17;128,2
2021.01.08. 06:00:00;80,06;181,1166667
2021.01.08. 07:00:00;104,04;126,2
2021.01.08. 08:00:00;110,95;77,98333333
2021.01.08. 09:00:00;110,46;150,1
2021.01.08. 10:00:00;107,32;250,4333333
2021.01.08. 11:00:00;102,87;296,5166667
2021.01.08. 12:00:00;98,11;219,5833333
2021.01.08. 13:00:00;95,5;161,3833333
2021.01.08. 14:00:00;95,92;177,6666667
2021.01.08. 15:00:00;95,5;163,2833333
2021.01.08. 16:00:00;110,5;386,25
2021.01.08. 17:00:00;102,91;253,25
2021.01.08. 18:00:00;88,55;222,8833333
